fips,state_fips_code,county_fips_code,median_household_income_Mortality,indiv_in_poverty_Mortality,indiv_in_school_Mortality,num_degree_holders_Mortality,pop_nonwhite_Mortality,num_veterans_Mortality,housing_units_Mortality,median_home_value_Mortality,num_homes_with_mortgage_Mortality,median_monthly_housing_costs_Mortality,est_total_bedrooms_Mortality,pop_labor_jobs_Mortality,Unemployment_rate_Mortality,osha_deaths_Mortality,nonviolent_crime_for_county_Mortality,violent_crime_for_county_Mortality,GRAMS_HYDROCODONE_Mortality,GRAMS_OXYCODONE_Mortality
1001,1,1,,,,,,,,,,,,,,,,,,
1003,1,3,-0.514653533,-0.602181931,-0.734682011,-0.638031985,-0.682021213,0.565739675,-0.116958842,-0.280257783,-0.622669185,-0.586597887,-0.554088505,0.584561943,-0.049940555,0,-0.839198377,0.367076789,-0.570664091,-0.697170304
1005,1,5,,,,,,,,,,,,,,,,,,
1007,1,7,,,,,,,,,,,,,,,,,,
1009,1,9,,,,,,,,,,,,,,,,,,
1011,1,11,,,,,,,,,,,,,,,,,,
1013,1,13,,,,,,,,,,,,,,,,,,
1015,1,15,,,,,,,,,,,,,,,,,,
1017,1,17,,,,,,,,,,,,,,,,,,
1019,1,19,,,,,,,,,,,,,,,,,,
1021,1,21,,,,,,,,,,,,,,,,,,
1023,1,23,,,,,,,,,,,,,,,,,,
1025,1,25,,,,,,,,,,,,,,,,,,
1027,1,27,,,,,,,,,,,,,,,,,,
1029,1,29,,,,,,,,,,,,,,,,,,
1031,1,31,,,,,,,,,,,,,,,,,,
1033,1,33,,,,,,,,,,,,,,,,,,
1035,1,35,,,,,,,,,,,,,,,,,,
1037,1,37,,,,,,,,,,,,,,,,,,
1039,1,39,,,,,,,,,,,,,,,,,,
1041,1,41,,,,,,,,,,,,,,,,,,
1043,1,43,,,,,,,,,,,,,,,,,,
1045,1,45,,,,,,,,,,,,,,,,,,
1049,1,49,,,,,,,,,,,,,,,,,,
1051,1,51,,,,,,,,,,,,,,,,,,
1053,1,53,,,,,,,,,,,,,,,,,,
1055,1,55,,,,,,,,,,,,,,,,,,
1057,1,57,,,,,,,,,,,,,,,,,,
1059,1,59,,,,,,,,,,,,,,,,,,
1061,1,61,,,,,,,,,,,,,,,,,,
1063,1,63,,,,,,,,,,,,,,,,,,
1065,1,65,,,,,,,,,,,,,,,,,,
1069,1,69,,,,,,,,,,,,,,,,,,
1071,1,71,,,,,,,,,,,,,,,,,,
1073,1,73,0.343664101,0.320346611,0.128712089,0.018162528,0.085441034,-0.027320331,0.436804225,0.27456454,-0.034771981,0.310368113,0.707248083,0.045430114,0.351406776,0,-0.825683873,0.340351959,0.266836625,0.220710372
1075,1,75,,,,,,,,,,,,,,,,,,
